,sample_id,ground_truth,prediction
22,normal_0088,0,0.9988815_0.001118476
23,normal_2,0,0.97505367_0.024946313
24,Z00305664,1,0.000449026_0.999551
25,normal_0186,0,0.9816597_0.018340258
26,Z00420210,1,0.0015477453_0.9984522
27,normal_0179,0,0.9950706_0.004929481
28,normal_0101,0,0.99909055_0.00090951094
29,normal_0325,0,0.99840945_0.0015906034
30,normal_0125,0,0.9858242_0.014175805
31,normal_0148,0,0.9883124_0.011687544
0,D01865359,1,0.22081448_0.7791855
1,normal_0201,0,0.99950266_0.00049737823
2,Z00469237,1,0.37861145_0.6213886
3,normal_0313,0,0.9844721_0.015527941
4,normal_16,0,0.9564001_0.043599922
5,HG1130678,1,0.033733435_0.9662665
6,80141547,1,0.0027764868_0.9972235
7,D23830579,1,0.0072716395_0.99272835
8,D24261507,1,0.075664386_0.9243356
9,normal_0325,0,0.998243_0.0017570717
10,Z00281063,1,0.2512354_0.74876463
11,Z00462671,1,0.4384194_0.5615806
12,Z00309741,1,0.013309272_0.98669076
13,normal_0123,0,0.9999361_6.388583e-05
14,Z00369113,1,0.00047461674_0.9995254
15,normal_0178,0,0.998752_0.0012480203
16,80141547,1,0.00011120936_0.9998888
17,normal_0009,0,0.9960103_0.003989659
18,D0215927X,1,0.0020740663_0.9979259
19,normal_0032,0,0.9997991_0.00020093634
20,normal_0461,0,0.95055985_0.04944015
21,normal_0127,0,0.98638225_0.013617689
22,D32185663,1,0.0003268839_0.9996731
23,D28369865,1,0.40950873_0.59049124
24,normal_0118,0,0.9982508_0.001749224
25,D02185144,1,0.0035464645_0.9964535
26,normal_0165,0,0.9995223_0.0004776669
27,D32185663,1,0.0025932677_0.9974068
28,normal_0009,0,0.99948406_0.0005158792
29,normal_17,0,0.9919076_0.008092441
30,Z00398330,1,0.009915529_0.9900845
31,normal_0025,0,0.9973412_0.0026588053
0,Z00462671,1,0.071656264_0.9283438
1,D08169364,1,0.0005556687_0.9994443
2,normal_0140,0,0.9982187_0.0017813111
3,normal_0087,0,0.9776047_0.022395292
4,HG0640457,1,0.00093891233_0.99906105
5,Z00369113,1,7.5160926e-05_0.9999248
6,normal_0058,0,0.9902693_0.009730737
7,normal_10,0,0.9690475_0.030952556
8,normal_10,0,0.9589758_0.041024186
9,normal_0164,0,0.9297199_0.07028004
10,normal_0064,0,0.9954821_0.004517961
11,normal_0009,0,0.9736249_0.026375052
12,normal_11,0,0.7577138_0.24228616
13,normal_0179,0,0.9995758_0.0004241798
14,normal_0064,0,0.9929947_0.0070052445
15,Z00480052,1,4.414009e-06_0.9999956
16,normal_4,0,0.6209636_0.37903646
17,normal_6,0,0.99368554_0.0063144034
18,normal_0057,0,0.99616253_0.003837517
19,normal_0171,0,0.99648786_0.0035121373
20,normal_0025,0,0.950619_0.049381066
21,normal_0464,0,0.9918954_0.008104629
22,normal_0311,0,0.89452296_0.10547703
23,normal_0090,0,0.96624523_0.033754773
24,D23805007,1,0.00014911094_0.99985087
25,D01909534,1,0.0038201404_0.9961798
26,normal_0168,0,0.9792118_0.020788148
27,normal_0030,0,0.988139_0.0118610775
28,normal_0087,0,0.9777809_0.022219103
29,D28369865,1,0.0014027983_0.9985972
30,Z00466613,1,0.41098753_0.58901244
31,80139062,1,0.0011011395_0.99889886
0,normal_0145,0,0.9882981_0.01170189
1,normal_0144,0,0.9850509_0.014949079
2,normal_0311,0,0.9410938_0.058906246
3,80140865,1,0.00018552286_0.99981445
4,normal_0212,0,0.9926807_0.0073192124
5,D0211686X,1,2.2753231e-05_0.99997723
6,normal_1,0,0.9871481_0.012851916
7,normal_0202,0,0.9865882_0.013411835
8,normal_0013,0,0.9234471_0.076552905
9,Z00473293,1,0.00043911356_0.9995609
10,normal_0174,0,0.98423773_0.015762279
11,80141547,1,0.0017404957_0.9982595
12,Z00466214,1,0.0043472457_0.9956527
13,normal_0203,0,0.9906893_0.009310659
14,T00174812,1,0.00011178711_0.9998882
15,D0215927X,1,0.003035678_0.9969643
16,normal_0435,0,0.9975684_0.0024315305
17,normal_0039,0,0.9908263_0.009173709
18,normal_0180,0,0.99903166_0.00096831995
19,D0211686X,1,5.473331e-06_0.9999945
20,normal_0064,0,0.98985183_0.010148253
21,normal_0188,0,0.98820764_0.011792314
22,normal_2,0,0.99599636_0.0040035946
23,Z00462671,1,0.078229286_0.92177075
24,normal_0183,0,0.9898963_0.010103699
25,normal_11,0,0.9139848_0.08601525
26,normal_0179,0,0.9980336_0.0019664387
27,normal_0168,0,0.9764148_0.023585144
28,Z00419159,1,0.029764019_0.970236
29,normal_0042,0,0.9972236_0.002776398
30,Z00480052,1,0.0023114814_0.99768853
31,normal_2,0,0.9895863_0.010413693
0,normal_0199,0,0.9997154_0.00028459038
1,normal_0127,0,0.99893004_0.0010699333
2,normal_0150,0,0.99671775_0.0032822373
3,normal_0132,0,0.9982627_0.0017372882
4,normal_0088,0,0.99887055_0.0011294322
5,normal_0117,0,0.9668856_0.033114396
6,normal_0408,0,0.99798405_0.002015957
7,normal_0359,0,0.99952257_0.0004774052
8,normal_0077,0,0.9995276_0.0004724886
9,Z00466531,1,0.033151545_0.96684843
10,normal_12,0,0.9929838_0.007016196
11,normal_0013,0,0.992254_0.0077459393
12,Z00473631,1,0.005337638_0.99466234
13,D30462145,1,0.0011322534_0.99886775
14,D30462145,1,0.050270543_0.94972944
15,D28781577,1,0.0029637357_0.9970362
16,normal_0163,0,0.9996132_0.00038680775
17,T00174812,1,0.0016538084_0.9983462
18,D01909534,1,0.3396535_0.66034657
19,normal_0159,0,0.9987915_0.001208521
20,Z00358778,1,0.0013342123_0.9986658
21,normal_0134,0,0.99974483_0.0002551808
22,Z00462671,1,0.40756488_0.5924351
23,D28781577,1,0.00030097767_0.999699
24,D23672750,1,0.14775907_0.8522409
25,D01812636,1,0.22517827_0.77482176
26,D30840695,1,0.08744843_0.9125515
27,normal_0192,0,0.9866338_0.013366185
28,D32185663,1,0.00048604156_0.999514
29,Z00482791,1,0.02757356_0.97242635
30,Z00305664,1,0.0022269376_0.997773
31,D02098446,1,0.0016531715_0.9983468
0,normal_0058,0,0.9912373_0.008762692
1,normal_0024,0,0.981533_0.018467054
2,normal_0179,0,0.9945042_0.005495852
3,HG1130678,1,0.0035694593_0.9964306
4,D30462145,1,0.0021988354_0.9978011
5,normal_0065,0,0.97820836_0.021791682
6,Z00357569,1,0.0044490215_0.995551
7,Z00374375,1,0.015490284_0.98450977
8,normal_0196,0,0.9345319_0.06546812
9,normal_0408,0,0.8871679_0.1128321
10,D24291220,1,0.001647954_0.99835205
11,normal_0163,0,0.9983784_0.0016216186
12,normal_0072,0,0.982752_0.017247941
13,normal_0246,0,0.9970354_0.0029646694
14,D30470065,1,0.02229109_0.97770894
15,normal_17,0,0.98400176_0.015998213
16,normal_7,0,0.96488076_0.035119172
17,D08142364,1,0.0003147172_0.9996853
18,D30743879,1,0.0010651341_0.9989348
19,normal_0408,0,0.910094_0.08990598
20,normal_0064,0,0.9943251_0.005674894
21,normal_0165,0,0.99918264_0.0008173711
22,normal_0354,0,0.9973091_0.0026909641
23,D23672750,1,0.0038162845_0.9961837
24,normal_0311,0,0.9071006_0.09289934
25,normal_0044,0,0.9957904_0.004209583
26,normal_0075,0,0.98797077_0.012029234
27,normal_0009,0,0.9935499_0.0064500943
28,Z00480052,1,8.7848966e-05_0.99991214
29,80140865,1,0.00093347795_0.99906653
30,normal_0212,0,0.9957242_0.004275802
31,normal_0178,0,0.97307974_0.026920253
0,normal_0448,0,0.9737249_0.026275124
1,normal_0004,0,0.97233486_0.027665146
2,D01865359,1,0.030049149_0.9699508
3,D02225257,1,0.0073089814_0.992691
4,normal_0165,0,0.99956185_0.00043808838
5,normal_0201,0,0.996101_0.0038990283
6,Z00369113,1,0.0011159282_0.998884
7,Z00473631,1,0.00064527866_0.9993548
8,normal_0435,0,0.9993461_0.00065390026
9,normal_0390,0,0.99960595_0.00039408394
10,D31151840,1,0.03446999_0.96553004
11,normal_13,0,0.9430088_0.056991182
12,Z00357569,1,0.0010497395_0.9989503
13,normal_0081,0,0.97561884_0.024381135
14,normal_0174,0,0.99259275_0.0074072024
15,80146759,1,0.0068716775_0.9931283
16,normal_0030,0,0.9966612_0.0033388217
17,normal_0132,0,0.99544597_0.0045540333
18,D29346032,1,0.0003281776_0.9996718
19,normal_0420,0,0.9856371_0.014362875
20,normal_0080,0,0.99703_0.0029699877
21,Z00469237,1,0.14203438_0.85796565
