,sample_id,ground_truth,prediction
3,normal_0042,0,0.8742214_0.12577865
4,normal_0454,0,0.99636227_0.0036377336
5,D23786264,1,0.0004864441_0.9995135
6,normal_0022,0,0.97418416_0.025815858
7,normal_0186,0,0.9673371_0.0326629
8,Z00369113,1,8.6221546e-05_0.9999138
9,normal_0295,0,0.99711335_0.0028865898
10,normal_0104,0,0.99603075_0.003969243
11,normal_0055,0,0.9997948_0.00020519306
12,normal_0309,0,0.988902_0.011098099
13,D28781577,1,0.00038782958_0.99961215
14,Z00466613,1,0.09248929_0.9075107
15,normal_0171,0,0.98039883_0.0196012
16,normal_0042,0,0.9108762_0.089123815
17,normal_0052,0,0.97789156_0.022108423
18,normal_0026,0,0.9973794_0.0026205708
19,Z00383232,1,0.0056369137_0.99436307
20,normal_0200,0,0.71951866_0.28048137
21,normal_0005,0,0.9887876_0.011212425
22,80140112,1,0.002841304_0.99715865
23,normal_0186,0,0.9937995_0.006200454
24,normal_13,0,0.96717495_0.03282508
25,normal_0014,0,0.99806505_0.0019350052
26,HG0640457,1,4.103298e-05_0.999959
27,Z00472104,1,0.013075389_0.98692465
28,D01802251,1,0.010053896_0.98994607
29,normal_0107,0,0.979126_0.020874044
30,Z00462671,1,0.10836692_0.8916331
31,normal_14,0,0.97511476_0.024885297
0,normal_0130,0,0.991991_0.00800905
1,Z00480052,1,0.0012867391_0.99871325
2,D23548290,1,0.0028511444_0.9971488
3,Z00437703,1,0.005734503_0.9942655
4,normal_0394,0,0.9995352_0.0004647665
5,Z00468363,1,0.0057423785_0.99425757
6,normal_0057,0,0.9979662_0.002033818
7,D06164607,1,1.8803876e-05_0.99998116
8,normal_0186,0,0.9974813_0.0025187249
9,normal_1,0,0.98845005_0.011549938
10,normal_0349,0,0.99837023_0.0016297649
11,normal_0024,0,0.9976928_0.0023071745
12,normal_0178,0,0.9983878_0.0016121737
13,D06164607,1,0.0020950872_0.9979049
14,normal_0112,0,0.98241603_0.017583907
15,normal_0051,0,0.989664_0.010335987
16,normal_0046,0,0.9968856_0.0031143376
17,normal_0346,0,0.9979911_0.002008899
18,D30470065,1,0.032567088_0.9674329
19,T00172810,1,0.00044434774_0.99955565
20,HG1324042,1,0.051012598_0.94898736
21,normal_0460,0,0.99921656_0.00078343396
22,normal_0006,0,0.9987244_0.0012755776
23,Z00356022,1,0.0051298966_0.99487007
24,normal_0025,0,0.99759597_0.0024039827
25,normal_0170,0,0.99895704_0.001042976
26,T00172810,1,0.0021215423_0.99787843
27,Z00482791,1,0.019552892_0.98044705
28,Z00383232,1,0.074926205_0.9250738
29,D30470065,1,0.039890535_0.9601095
30,normal_0094,0,0.99099684_0.009003174
31,Z00473631,1,0.005917781_0.9940823
0,HG0384836,1,0.0018714188_0.9981286
1,D24128247,1,0.0024808084_0.99751925
2,normal_0114,0,0.99951625_0.00048370956
3,normal_0346,0,0.9677991_0.03220086
4,80141547,1,3.194206e-05_0.99996805
5,D31151840,1,0.009058362_0.9909416
6,Z00337610,1,0.0006372173_0.99936277
7,Z00426754,1,0.05016474_0.9498353
8,normal_0200,0,0.6550866_0.34491336
9,normal_0198,0,0.9847109_0.015289173
10,T00172810,1,0.0021453786_0.99785465
11,normal_0403,0,0.9994092_0.0005908501
12,normal_0022,0,0.9951794_0.0048205536
13,normal_0357,0,0.98878795_0.011212045
14,normal_0349,0,0.99636394_0.0036360365
15,D23979736,1,0.08885164_0.91114837
16,normal_0223,0,0.9968509_0.0031491304
17,normal_0070,0,0.9861552_0.0138447685
18,D01909534,1,0.1170253_0.88297474
19,Z00468243,1,0.0041242465_0.9958758
20,normal_0024,0,0.9978725_0.002127529
21,Z00285163,1,8.9952206e-05_0.99991
22,normal_0227,0,0.99834037_0.0016595693
23,normal_0010,0,0.989931_0.010068971
24,normal_0046,0,0.9815469_0.018453047
25,normal_0006,0,0.99650085_0.0034991028
26,Z00356022,1,0.00026913767_0.9997309
27,Z00462671,1,0.083458714_0.9165412
28,normal_0295,0,0.9975406_0.0024594693
29,Z00385315,1,0.0075094295_0.9924906
30,normal_0044,0,0.9930172_0.006982815
31,normal_0060,0,0.9936021_0.006397932
0,normal_0100,0,0.9891872_0.010812867
1,normal_0078,0,0.9843962_0.015603827
2,D02236386,1,0.00018585945_0.9998142
3,normal_0123,0,0.99650574_0.0034943046
4,normal_0048,0,0.99068165_0.009318306
5,normal_0204,0,0.996463_0.0035370642
6,normal_8,0,0.9972064_0.0027936194
7,normal_0295,0,0.9981026_0.0018974538
8,normal_0212,0,0.98943824_0.010561745
9,D08142516,1,0.0014716947_0.99852824
10,HG1324042,1,0.00539036_0.9946096
11,Z00374375,1,0.0027075126_0.99729246
12,normal_0176,0,0.99584454_0.0041555157
13,D0813046X,1,0.00031557016_0.99968445
14,normal_0104,0,0.9932361_0.006763915
15,normal_0002,0,0.9958455_0.004154529
16,normal_0087,0,0.99661237_0.003387677
17,normal_0048,0,0.99673516_0.003264849
18,normal_0223,0,0.99585354_0.00414645
19,D44570219,1,0.005157758_0.99484223
20,HG1047858,1,0.0037411936_0.99625885
21,D02098446,1,0.032917485_0.9670825
22,HG1324042,1,0.010360908_0.98963904
23,normal_0003,0,0.9931571_0.0068429513
24,normal_0019,0,0.99422646_0.005773542
25,D05652748,1,0.0031042048_0.9968958
26,Z00479339,1,0.003668638_0.9963314
27,normal_0198,0,0.9961075_0.003892452
28,normal_0454,0,0.98810625_0.011893742
29,D32185663,1,0.00033227692_0.99966776
30,normal_14,0,0.9824157_0.017584303
31,D08142516,1,5.235447e-05_0.99994767
0,Z00466531,1,0.07452494_0.92547506
1,Z00285163,1,0.00060216844_0.9993979
2,normal_0030,0,0.9965947_0.0034052506
3,HG0766148,1,0.0020330595_0.99796695
4,normal_0004,0,0.92760754_0.072392456
5,normal_13,0,0.9834719_0.0165281
6,D05652748,1,0.004487565_0.9955124
7,normal_0403,0,0.99477744_0.005222513
8,normal_0394,0,0.99981505_0.00018501005
9,HG1130678,1,0.003146129_0.9968539
10,normal_0185,0,0.9915126_0.008487385
11,normal_0014,0,0.9969164_0.0030835643
12,D44570219,1,0.00545269_0.99454737
13,normal_0048,0,0.99710685_0.002893128
14,normal_0138,0,0.9999709_2.9033783e-05
15,Z00477802,1,0.0031825092_0.99681747
16,normal_0198,0,0.99878055_0.0012194704
17,D08142364,1,2.0454268e-05_0.9999795
18,normal_0039,0,0.99200916_0.00799083
19,D01909534,1,0.0008648558_0.9991352
20,normal_0124,0,0.917046_0.08295398
21,Z00318833,1,0.0012085992_0.9987914
22,normal_0015,0,0.9967416_0.0032584653
23,HG1130678,1,0.030478422_0.9695216
24,Z00420210,1,0.0022631139_0.99773693
25,normal_0198,0,0.99391407_0.006085927
26,normal_0171,0,0.9977902_0.0022097202
27,D01865359,1,0.044307616_0.95569235
28,normal_0078,0,0.9905262_0.009473813
29,D01865359,1,0.026694931_0.9733051
30,Z00399518,1,0.0008763385_0.99912363
31,normal_0038,0,0.99813086_0.0018691256
0,Z00480052,1,0.00071093766_0.99928904
1,normal_0223,0,0.98047626_0.019523706
2,D06402513,1,0.0032316104_0.99676836
3,normal_0167,0,0.99754614_0.0024538368
4,Z00385315,1,0.0011990697_0.9988009
5,normal_0014,0,0.9937336_0.00626644
6,normal_0117,0,0.9679921_0.032007884
7,Z00477106,1,2.0015268e-06_0.999998
8,normal_1,0,0.9700688_0.029931165
9,Z00462671,1,0.12428453_0.87571543
10,normal_0048,0,0.9927443_0.007255671
11,normal_0063,0,0.9851778_0.01482215
12,Z00468363,1,0.00079504546_0.99920493
13,normal_17,0,0.96379405_0.03620595
14,normal_0120,0,0.9994912_0.00050873635
15,Z00473631,1,0.00025251464_0.99974746
16,normal_0100,0,0.9890465_0.0109534385
17,normal_0005,0,0.99544156_0.0045583826
18,normal_0088,0,0.98744595_0.012554081
19,normal_0104,0,0.9971294_0.0028706756
20,normal_0044,0,0.94759625_0.052403744
21,normal_0070,0,0.9822286_0.017771509
22,D23608580,1,0.005318634_0.9946813
23,normal_0121,0,0.9436152_0.056384753
24,Z00477802,1,0.003993932_0.9960061
25,normal_0131,0,0.9924799_0.007520134
26,Z00472104,1,0.001860914_0.998139
27,normal_0403,0,0.99847454_0.001525514
28,normal_0295,0,0.9960139_0.003986189
29,D32185663,1,0.00029233785_0.99970764
30,Z00464066,1,0.006163662_0.99383634
31,normal_0121,0,0.9643568_0.03564316
0,normal_0119,0,0.98623836_0.013761671
1,Z00307452,1,0.12176471_0.8782352
2,normal_0179,0,0.99683905_0.0031609568
3,normal_0183,0,0.9923653_0.0076347026
4,normal_0015,0,0.9602841_0.039715875
5,Z00457765,1,0.06517276_0.93482727
6,Z00369113,1,0.01270446_0.98729557
7,D0215927X,1,0.0021301473_0.99786985
8,normal_0107,0,0.9962584_0.0037416844
9,normal_0006,0,0.99961287_0.00038719978
10,Z00479791,1,0.0019671416_0.99803287
11,normal_0015,0,0.9367913_0.06320869
12,normal_0081,0,0.9919767_0.008023368
13,80141547,1,0.00031671912_0.99968326
14,D06164607,1,0.001496808_0.9985032
15,HG0359358,1,0.0017751178_0.9982249
16,normal_0170,0,0.9935116_0.0064883893
17,normal_12,0,0.9636084_0.036391575
18,Z00479339,1,0.010669999_0.98933
19,normal_0080,0,0.98489666_0.01510341
20,normal_0048,0,0.9878143_0.012185733
21,normal_0094,0,0.98203963_0.017960388
22,D08142364,1,0.00042322418_0.99957675
23,normal_0470,0,0.99754494_0.002455009
24,Z00477106,1,0.0005304471_0.9994696
25,normal_0223,0,0.99674356_0.0032564623
26,normal_0179,0,0.9816921_0.018307855
27,normal_0095,0,0.99707067_0.0029293618
28,HG0640457,1,0.0012727531_0.99872726
29,normal_0128,0,0.9771413_0.022858677
30,normal_0080,0,0.99723047_0.0027695864
31,D0813046X,1,0.006030901_0.9939691
0,D23548290,1,0.0038900839_0.9961099
1,normal_0128,0,0.99813795_0.0018620898
2,Z00318833,1,0.00018198913_0.999818
3,normal_0081,0,0.9400122_0.059987746
4,HG0775378,1,0.16796607_0.83203393
5,Z00466531,1,0.028846893_0.97115314
6,Z00369113,1,0.00022084649_0.99977916
7,normal_0138,0,0.9999696_3.040465e-05
8,normal_0354,0,0.9987373_0.0012627599
9,D05900297,1,0.04355054_0.95644945
10,Z00477106,1,0.005674951_0.994325
11,normal_0346,0,0.9866502_0.013349772
12,normal_0145,0,0.9987583_0.0012416685
13,normal_12,0,0.98811406_0.011885995
14,normal_0471,0,0.9961569_0.0038431387
15,Z00482791,1,0.008555511_0.9914445
16,D08142364,1,0.00025563032_0.99974436
17,normal_0117,0,0.9933554_0.006644656
18,Z00305664,1,0.043265693_0.9567343
19,HG1047858,1,0.0075533115_0.99244666
20,normal_0087,0,0.9978836_0.0021163519
21,normal_0114,0,0.99898154_0.0010183923
22,normal_0384,0,0.9991013_0.00089880096
23,Z00464066,1,0.010342454_0.9896576
24,normal_0197,0,0.99928266_0.0007173715
25,normal_0043,0,0.99601895_0.003981035
26,normal_0024,0,0.9958769_0.004123099
27,normal_0203,0,0.9831234_0.01687653
28,Z00337610,1,0.026889924_0.9731101
29,T00174812,1,0.0007288702_0.9992711
30,normal_0155,0,0.94811034_0.051889647
31,Z00356022,1,0.00019971446_0.99980026
0,normal_0188,0,0.9821723_0.01782766
1,normal_0339,0,0.9909327_0.009067347
2,normal_15,0,0.91295135_0.08704861
3,normal_0205,0,0.99680376_0.0031963019
4,normal_0157,0,0.9931832_0.0068167583
5,Z00479791,1,1.5128873e-05_0.99998486
6,Z00305664,1,0.004283444_0.9957165
7,Z00356022,1,0.0008122946_0.99918765
8,normal_0060,0,0.9802932_0.019706836
9,normal_0107,0,0.9930714_0.0069286707
10,Z00437703,1,0.0055813594_0.9944186
11,normal_0081,0,0.8780906_0.121909335
12,D44570219,1,0.00028761127_0.9997124
13,normal_0024,0,0.9979235_0.0020764729
14,normal_0043,0,0.9938024_0.0061975997
15,Z00468363,1,0.0036206632_0.9963793
16,D23548290,1,0.00025672113_0.9997433
17,Z00420210,1,0.0032014134_0.9967986
18,D0215927X,1,0.00056928385_0.9994307
19,normal_0090,0,0.991574_0.008425956
20,normal_0384,0,0.99662316_0.0033768034
21,normal_0044,0,0.9945332_0.0054668607
22,normal_0024,0,0.9934557_0.00654426
23,normal_0114,0,0.9978703_0.0021296842
24,normal_0033,0,0.97468954_0.025310494
25,D23608580,1,0.00087298325_0.999127
26,D30743879,1,0.0005413095_0.99945873
27,normal_0100,0,0.95313025_0.04686977
28,normal_0090,0,0.9834357_0.016564287
29,normal_0121,0,0.9745361_0.025463907
30,normal_0194,0,0.99547607_0.0045239525
31,normal_0194,0,0.9974482_0.0025517934
0,T00174812,1,0.002492932_0.99750715
1,normal_16,0,0.8712907_0.12870935
2,normal_0072,0,0.98741686_0.012583088
3,normal_0471,0,0.99270517_0.007294856
4,normal_0095,0,0.9967494_0.0032505859
5,D05652748,1,0.00020246912_0.9997975
6,D23608580,1,0.016521877_0.9834781
7,Z00285163,1,2.6800957e-05_0.9999732
8,normal_0464,0,0.999199_0.0008009845
9,80140112,1,0.0014427134_0.99855727
10,HG0766148,1,0.00028063715_0.9997193
11,normal_0349,0,0.9963276_0.0036724238
12,normal_0025,0,0.9985298_0.0014701658
13,normal_0176,0,0.99602735_0.0039726584
14,normal_0119,0,0.9841732_0.01582684
15,D23786264,1,0.0013926632_0.99860734
16,normal_0038,0,0.9898198_0.010180253
17,Z00350398,1,0.09017269_0.90982735
18,normal_0004,0,0.96389425_0.03610574
19,normal_5,0,0.9672028_0.032797143
20,normal_0022,0,0.99558675_0.0044132527
21,D02236386,1,3.2591928e-05_0.99996746
22,Z00437703,1,0.003933854_0.99606615
23,D29759101,1,0.007612758_0.9923873
24,normal_0019,0,0.9916944_0.008305592
25,normal_0153,0,0.9863712_0.013628769
26,normal_0010,0,0.9989446_0.0010554247
27,Z00350398,1,0.16161202_0.83838797
28,normal_0167,0,0.99852043_0.001479575
29,Z00356022,1,0.0010807578_0.99891925
30,normal_0101,0,0.99856025_0.0014397509
31,Z00385315,1,0.00394355_0.99605644
0,normal_0186,0,0.99428_0.005719959
1,normal_0454,0,0.98782504_0.012175022
2,normal_16,0,0.8500536_0.1499464
3,Z00462671,1,0.008339469_0.99166054
4,normal_0403,0,0.98966074_0.010339192
5,Z00383232,1,0.0014890097_0.998511
6,HG0775378,1,0.011916044_0.988084
7,normal_0104,0,0.9964013_0.0035987082
8,Z00374375,1,0.000115998846_0.999884
9,normal_0165,0,0.99768615_0.0023138712
10,normal_0460,0,0.99726874_0.002731185
11,HG1130678,1,0.00023842642_0.9997615
12,Z00466613,1,0.13582592_0.8641741
13,D23979736,1,0.04483581_0.9551642
14,normal_0170,0,0.9850519_0.014948125
15,normal_0039,0,0.9883066_0.011693429
16,HG0384836,1,0.00027500762_0.9997249
17,normal_0117,0,0.9790096_0.020990329
18,D01802251,1,0.0007090644_0.99929094
19,normal_0123,0,0.9984139_0.0015860338
20,Z00466613,1,0.04596794_0.954032
21,normal_0002,0,0.99792826_0.002071768
22,normal_0204,0,0.99554765_0.004452379
23,normal_0096,0,0.99125576_0.008744257
24,Z00420210,1,0.0034841562_0.99651587
25,Z00426754,1,0.0463418_0.95365816
26,normal_0072,0,0.9662705_0.03372945
27,Z00468243,1,0.0011231386_0.99887687
28,normal_0114,0,0.99978215_0.00021786636
29,normal_0078,0,0.98634106_0.013658891
30,D28781577,1,0.0050653615_0.9949346
31,normal_0204,0,0.9948525_0.005147517
0,normal_0052,0,0.981247_0.01875304
1,normal_0205,0,0.9990194_0.0009805625
2,normal_0125,0,0.9653977_0.034602284
3,Z00437703,1,0.028157918_0.97184205
4,normal_0099,0,0.95866346_0.041336525
5,normal_0186,0,0.9923309_0.0076691187
6,normal_0042,0,0.9538477_0.046152297
7,Z00462671,1,0.0692765_0.9307235
8,D29759101,1,0.08726193_0.9127381
9,Z00383232,1,0.0056445734_0.99435544
10,normal_0197,0,0.9990054_0.0009946461
11,normal_0072,0,0.92090464_0.07909537
12,D08142364,1,0.00017242401_0.9998275
13,normal_0037,0,0.9519615_0.048038483
14,normal_0188,0,0.9758959_0.024104135
15,normal_0295,0,0.99857867_0.0014213455
16,normal_0052,0,0.9900765_0.009923489
17,normal_0039,0,0.99295145_0.0070485612
18,normal_0105,0,0.9784414_0.021558553
19,normal_0403,0,0.9986676_0.0013324369
20,Z00476547,1,0.00046930788_0.9995307
21,D01802251,1,0.0007606116_0.99923944
22,D06402513,1,0.0038782523_0.9961217
23,HG0359358,1,0.002246326_0.9977537
24,D30470065,1,0.0020346951_0.99796534
25,Z00408100,1,0.021526031_0.97847396
26,D23548290,1,0.00094261277_0.99905735
27,normal_0394,0,0.9997002_0.0002998444
28,normal_0042,0,0.98371774_0.016282234
29,normal_0174,0,0.9980438_0.0019561546
30,normal_17,0,0.993168_0.0068319184
31,T00172810,1,0.0015791497_0.99842083
0,80141547,1,0.0005420945_0.9994579
1,D02236386,1,0.00015987565_0.99984014
2,D30743879,1,0.0004923856_0.99950767
3,normal_0471,0,0.98628414_0.013715822
4,Z00399518,1,0.0034752407_0.99652475
5,D01865359,1,0.019278023_0.98072195
6,normal_0124,0,0.9707323_0.02926771
7,D06114132,1,0.007234873_0.9927651
8,normal_0090,0,0.9963056_0.0036943972
9,normal_0101,0,0.9996586_0.00034146395
10,Z00337610,1,0.0033816001_0.9966184
11,Z00307452,1,0.039638713_0.9603613
12,normal_0060,0,0.99001604_0.009983981
13,normal_0133,0,0.96856415_0.0314359
14,normal_0470,0,0.99808156_0.0019184118
15,normal_0125,0,0.9719648_0.028035289
16,normal_2,0,0.9820986_0.017901383
17,normal_0014,0,0.9983015_0.0016984546
18,normal_0094,0,0.96365774_0.036342252
19,normal_0203,0,0.9712985_0.028701536
20,normal_0105,0,0.9815083_0.01849171
21,Z00464066,1,0.0020707834_0.9979292
22,Z00369113,1,0.00011976645_0.9998802
23,Z00466613,1,0.06288993_0.93711007
24,normal_0080,0,0.9995603_0.00043974086
25,normal_0078,0,0.9948624_0.0051376317
26,normal_0174,0,0.9955734_0.004426545
27,normal_2,0,0.9966884_0.0033116387
28,Z00457765,1,0.03704489_0.9629551
29,D06402513,1,0.07762482_0.92237514
30,normal_0464,0,0.998777_0.0012229915
31,normal_0015,0,0.9703696_0.029630478
0,normal_0464,0,0.99570966_0.004290363
1,normal_0096,0,0.9987437_0.0012563266
2,normal_0022,0,0.98869497_0.011305069
3,D24128247,1,0.012694528_0.9873054
4,normal_12,0,0.9911187_0.008881273
5,normal_0470,0,0.99830306_0.0016969726
6,normal_0346,0,0.9955232_0.0044768113
7,D29759101,1,0.055320244_0.94467974
8,Z00372503,1,0.02339091_0.97660905
9,Z00385315,1,0.0025673294_0.99743265
10,Z00479339,1,0.0057966863_0.99420327
11,Z00466613,1,0.2226852_0.7773148
12,D23608580,1,0.007531834_0.9924682
13,Z00426754,1,0.2903515_0.7096485
14,normal_15,0,0.9144136_0.08558646
15,normal_0037,0,0.9972607_0.0027393484
16,normal_0188,0,0.9937093_0.0062906235
17,normal_0354,0,0.9961985_0.0038014916
18,Z00479339,1,0.0034299656_0.99657
19,D29759101,1,0.033825986_0.966174
20,D28369865,1,0.04492368_0.9550763
21,normal_0100,0,0.98463434_0.015365673
22,normal_0055,0,0.9997087_0.0002912187
23,Z00305664,1,0.04313337_0.9568667
24,normal_0471,0,0.99940646_0.0005935361
25,normal_0143,0,0.9963258_0.003674216
26,normal_0133,0,0.99394184_0.0060581453
27,normal_0354,0,0.9994555_0.0005444488
28,D0813046X,1,0.0015219462_0.9984781
29,D08142516,1,0.0014111754_0.99858874
30,D06164607,1,0.00034384607_0.9996562
31,Z00480052,1,0.0002749308_0.99972504
0,D06114132,1,0.00091040565_0.9990896
1,normal_0121,0,0.9528771_0.04712285
2,normal_0081,0,0.8875888_0.11241122
3,normal_0403,0,0.9970409_0.0029590926
4,normal_14,0,0.9712253_0.028774656
5,normal_0203,0,0.81583434_0.1841656
6,normal_0178,0,0.98552114_0.014478895
7,normal_2,0,0.92417866_0.07582131
8,normal_0197,0,0.9964965_0.0035035436
9,normal_0194,0,0.9937458_0.0062542264
10,normal_0019,0,0.9809848_0.019015154
11,normal_0120,0,0.99921834_0.0007816025
12,Z00476547,1,6.359565e-05_0.99993634
13,D24128247,1,0.00032556275_0.99967444
14,80140865,1,8.530353e-05_0.99991465
15,Z00420210,1,0.0003260386_0.99967396
16,normal_0128,0,0.99670273_0.0032972123
17,D23786264,1,0.00019636043_0.9998036
18,D05900297,1,0.0009138793_0.99908614
19,normal_0064,0,0.97754693_0.022453
